Series Name,Series Code,Country Name,Country Code,1981 [YR1981],2013 [YR2013]
GINI index (World Bank estimate),SI.POV.GINI,Afghanistan,AFG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Albania,ALB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Algeria,DZA,..,..
GINI index (World Bank estimate),SI.POV.GINI,American Samoa,ASM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Andorra,ADO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Angola,AGO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Antigua and Barbuda,ATG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Argentina,ARG,..,42.28
GINI index (World Bank estimate),SI.POV.GINI,Armenia,ARM,..,31.54
GINI index (World Bank estimate),SI.POV.GINI,Aruba,ABW,..,..
GINI index (World Bank estimate),SI.POV.GINI,Australia,AUS,31.33,..
GINI index (World Bank estimate),SI.POV.GINI,Austria,AUT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Azerbaijan,AZE,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Bahamas, The",BHS,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bahrain,BHR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bangladesh,BGD,..,..
GINI index (World Bank estimate),SI.POV.GINI,Barbados,BRB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Belarus,BLR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Belgium,BEL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Belize,BLZ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Benin,BEN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bermuda,BMU,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bhutan,BTN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bolivia,BOL,..,48.06
GINI index (World Bank estimate),SI.POV.GINI,Bosnia and Herzegovina,BIH,..,..
GINI index (World Bank estimate),SI.POV.GINI,Botswana,BWA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Brazil,BRA,57.93,52.87
GINI index (World Bank estimate),SI.POV.GINI,Brunei Darussalam,BRN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Bulgaria,BGR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Burkina Faso,BFA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Burundi,BDI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cabo Verde,CPV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cambodia,KHM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cameroon,CMR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Canada,CAN,32.6,..
GINI index (World Bank estimate),SI.POV.GINI,Cayman Islands,CYM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Central African Republic,CAF,..,..
GINI index (World Bank estimate),SI.POV.GINI,Chad,TCD,..,..
GINI index (World Bank estimate),SI.POV.GINI,Channel Islands,CHI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Chile,CHL,..,50.45
GINI index (World Bank estimate),SI.POV.GINI,China,CHN,29.11,..
GINI index (World Bank estimate),SI.POV.GINI,Colombia,COL,..,53.49
GINI index (World Bank estimate),SI.POV.GINI,Comoros,COM,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Congo, Dem. Rep.",ZAR,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Congo, Rep.",COG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Costa Rica,CRI,47.49,49.18
GINI index (World Bank estimate),SI.POV.GINI,Cote d'Ivoire,CIV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Croatia,HRV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cuba,CUB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Curacao,CUW,..,..
GINI index (World Bank estimate),SI.POV.GINI,Cyprus,CYP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Czech Republic,CZE,..,..
GINI index (World Bank estimate),SI.POV.GINI,Denmark,DNK,..,..
GINI index (World Bank estimate),SI.POV.GINI,Djibouti,DJI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Dominica,DMA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Dominican Republic,DOM,..,47.07
GINI index (World Bank estimate),SI.POV.GINI,Ecuador,ECU,..,47.29
GINI index (World Bank estimate),SI.POV.GINI,"Egypt, Arab Rep.",EGY,..,..
GINI index (World Bank estimate),SI.POV.GINI,El Salvador,SLV,..,43.51
GINI index (World Bank estimate),SI.POV.GINI,Equatorial Guinea,GNQ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Eritrea,ERI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Estonia,EST,..,..
GINI index (World Bank estimate),SI.POV.GINI,Ethiopia,ETH,32.42,..
GINI index (World Bank estimate),SI.POV.GINI,Faroe Islands,FRO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Fiji,FJI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Finland,FIN,..,..
GINI index (World Bank estimate),SI.POV.GINI,France,FRA,..,..
GINI index (World Bank estimate),SI.POV.GINI,French Polynesia,PYF,..,..
GINI index (World Bank estimate),SI.POV.GINI,Gabon,GAB,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Gambia, The",GMB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Georgia,GEO,..,40.03
GINI index (World Bank estimate),SI.POV.GINI,Germany,DEU,..,..
GINI index (World Bank estimate),SI.POV.GINI,Ghana,GHA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Greece,GRC,..,..
GINI index (World Bank estimate),SI.POV.GINI,Greenland,GRL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Grenada,GRD,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guam,GUM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guatemala,GTM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guinea,GIN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guinea-Bissau,GNB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Guyana,GUY,..,..
GINI index (World Bank estimate),SI.POV.GINI,Haiti,HTI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Honduras,HND,..,53.67
GINI index (World Bank estimate),SI.POV.GINI,"Hong Kong SAR, China",HKG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Hungary,HUN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Iceland,ISL,..,..
GINI index (World Bank estimate),SI.POV.GINI,India,IND,..,..
GINI index (World Bank estimate),SI.POV.GINI,Indonesia,IDN,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Iran, Islamic Rep.",IRN,..,37.35
GINI index (World Bank estimate),SI.POV.GINI,Iraq,IRQ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Ireland,IRL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Isle of Man,IMY,..,..
GINI index (World Bank estimate),SI.POV.GINI,Israel,ISR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Italy,ITA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Jamaica,JAM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Japan,JPN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Jordan,JOR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Kazakhstan,KAZ,..,26.35
GINI index (World Bank estimate),SI.POV.GINI,Kenya,KEN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Kiribati,KIR,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Korea, Dem. People's Rep.",PRK,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Korea, Rep.",KOR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Kosovo,KSV,..,26.71
GINI index (World Bank estimate),SI.POV.GINI,Kuwait,KWT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Kyrgyz Republic,KGZ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Lao PDR,LAO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Latvia,LVA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Lebanon,LBN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Lesotho,LSO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Liberia,LBR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Libya,LBY,..,..
GINI index (World Bank estimate),SI.POV.GINI,Liechtenstein,LIE,..,..
GINI index (World Bank estimate),SI.POV.GINI,Lithuania,LTU,..,..
GINI index (World Bank estimate),SI.POV.GINI,Luxembourg,LUX,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Macao SAR, China",MAC,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Macedonia, FYR",MKD,..,..
GINI index (World Bank estimate),SI.POV.GINI,Madagascar,MDG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Malawi,MWI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Malaysia,MYS,..,..
GINI index (World Bank estimate),SI.POV.GINI,Maldives,MDV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mali,MLI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Malta,MLT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Marshall Islands,MHL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mauritania,MRT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mauritius,MUS,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mexico,MEX,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Micronesia, Fed. Sts.",FSM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Moldova,MDA,..,28.53
GINI index (World Bank estimate),SI.POV.GINI,Monaco,MCO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mongolia,MNG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Montenegro,MNE,..,33.19
GINI index (World Bank estimate),SI.POV.GINI,Morocco,MAR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mozambique,MOZ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Myanmar,MMR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Namibia,NAM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Nepal,NPL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Netherlands,NLD,..,..
GINI index (World Bank estimate),SI.POV.GINI,New Caledonia,NCL,..,..
GINI index (World Bank estimate),SI.POV.GINI,New Zealand,NZL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Nicaragua,NIC,..,..
GINI index (World Bank estimate),SI.POV.GINI,Niger,NER,..,..
GINI index (World Bank estimate),SI.POV.GINI,Nigeria,NGA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Northern Mariana Islands,MNP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Norway,NOR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Oman,OMN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Pakistan,PAK,..,..
GINI index (World Bank estimate),SI.POV.GINI,Palau,PLW,..,..
GINI index (World Bank estimate),SI.POV.GINI,Panama,PAN,..,51.67
GINI index (World Bank estimate),SI.POV.GINI,Papua New Guinea,PNG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Paraguay,PRY,..,48.3
GINI index (World Bank estimate),SI.POV.GINI,Peru,PER,..,44.73
GINI index (World Bank estimate),SI.POV.GINI,Philippines,PHL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Poland,POL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Portugal,PRT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Puerto Rico,PRI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Qatar,QAT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Romania,ROM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Russian Federation,RUS,..,..
GINI index (World Bank estimate),SI.POV.GINI,Rwanda,RWA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Samoa,WSM,..,..
GINI index (World Bank estimate),SI.POV.GINI,San Marino,SMR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sao Tome and Principe,STP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Saudi Arabia,SAU,..,..
GINI index (World Bank estimate),SI.POV.GINI,Senegal,SEN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Serbia,SRB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Seychelles,SYC,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sierra Leone,SLE,..,..
GINI index (World Bank estimate),SI.POV.GINI,Singapore,SGP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sint Maarten (Dutch part),SXM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Slovak Republic,SVK,..,..
GINI index (World Bank estimate),SI.POV.GINI,Slovenia,SVN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Solomon Islands,SLB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Somalia,SOM,..,..
GINI index (World Bank estimate),SI.POV.GINI,South Africa,ZAF,..,..
GINI index (World Bank estimate),SI.POV.GINI,South Sudan,SSD,..,..
GINI index (World Bank estimate),SI.POV.GINI,Spain,ESP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sri Lanka,LKA,..,..
GINI index (World Bank estimate),SI.POV.GINI,St. Kitts and Nevis,KNA,..,..
GINI index (World Bank estimate),SI.POV.GINI,St. Lucia,LCA,..,..
GINI index (World Bank estimate),SI.POV.GINI,St. Martin (French part),MAF,..,..
GINI index (World Bank estimate),SI.POV.GINI,St. Vincent and the Grenadines,VCT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sudan,SDN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Suriname,SUR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Swaziland,SWZ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sweden,SWE,..,..
GINI index (World Bank estimate),SI.POV.GINI,Switzerland,CHE,..,..
GINI index (World Bank estimate),SI.POV.GINI,Syrian Arab Republic,SYR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tajikistan,TJK,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tanzania,TZA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Thailand,THA,45.22,..
GINI index (World Bank estimate),SI.POV.GINI,Timor-Leste,TMP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Togo,TGO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tonga,TON,..,..
GINI index (World Bank estimate),SI.POV.GINI,Trinidad and Tobago,TTO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tunisia,TUN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Turkey,TUR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Turkmenistan,TKM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Turks and Caicos Islands,TCA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tuvalu,TUV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Uganda,UGA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Ukraine,UKR,..,24.55
GINI index (World Bank estimate),SI.POV.GINI,United Arab Emirates,ARE,..,..
GINI index (World Bank estimate),SI.POV.GINI,United Kingdom,GBR,..,..
GINI index (World Bank estimate),SI.POV.GINI,United States,USA,..,41.06
GINI index (World Bank estimate),SI.POV.GINI,Uruguay,URY,43.65,41.87
GINI index (World Bank estimate),SI.POV.GINI,Uzbekistan,UZB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Vanuatu,VUT,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Venezuela, RB",VEN,55.61,..
GINI index (World Bank estimate),SI.POV.GINI,Vietnam,VNM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Virgin Islands (U.S.),VIR,..,..
GINI index (World Bank estimate),SI.POV.GINI,West Bank and Gaza,WBG,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Yemen, Rep.",YEM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Zambia,ZMB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Zimbabwe,ZWE,..,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 05/02/2016,,,,,
